N° EXP.,BASICO/ ENE 25,N°, MONTAJE DE EST. LAYHER - TRAB DE PINTURA - ANFITEATRO ,100.00%,COBRADO, MONTO DE CONTRATO ,,,,,,,,,
,,,,,," $ 48,578,012.34 ",,,,,,,,,
CERTIFICADOS DE OBRA,,,,,,,,,,,,,,,
3226/25,CERTIFICADO,1," $ 48,578,012.34 ",ABRIL,NO,,,,,,,,,,
N° EXP.,BASICO/ JUN 24,N°, RED DE AGUA Y CLOACA - REACONDICIONAMIENTO DE EST. ELEV. P/40 VIV - LA CRUZ  ,80.58%,COBRADO, MONTO DE CONTRATO ,,,,,,,,,
,,,,,," $ 214,311,963.62 ",,,,,,,,,
CERTIFICADOS DE OBRA,,,,,,,,,,,,,,,
3424/25,CERTIFICADO,5," $ 335,713.18 ",ABRIL,NO,,,,,,,,,,
,CERTIFICADO,10," $ 150,009.92 ",SEPTIEMBRE,NO,,,,,,,,,,
,,," $ 485,723.10 ",,,,,,,,,,,,
N° EXP.,BASICO/ FEB. 25,N°, PAVIMENTO - CALLES CALLAO - LOS ANDES - PREF - B° JP II - MONTE CASEROS ,29.22%,COBRADO, MONTO DE CONTRATO ,,,,,,,,,
,,,,,," $ 1,135,126,175.10 ",,,,,,,,,
CERTIFICADOS DE OBRA,,,,,,,,,,,,,,,
5949/25,CERTIFICADO,1," $ 213,969,326.17 ",AGOSTO,NO,,,,,,,,,,
6562/25,CERTIFICADO,2," $ 90,458,831.76 ",SEPTIEMBRE,NO,,,,,,,,,,
6562/25,CERTIFICADO,2," $ 27,224,297.63 ",OCTUBRE,NO,,,,,,,,,,
,,," $ 331,652,455.56 ",,,,,,,,,,,,
N° EXP.,BASICO/ JUN 24,N°, LIMP Y DESTAPE - MOV DE SUELO POLIDEPORTIVO - CONCEPCION ,81.91%,COBRADO, MONTO DE CONTRATO ,,,,,,,,,
,,,,,," $ 52,321,670.55 ",,,,,,,,,
CERTIFICADOS DE OBRA,,,,,,,,,,,,,,,
,CERTIFICADO,1," $ 18,928,582.49 ",SEPTIEMBRE,NO,,,,,,,,,,
,CERTIFICADO,1," $ 23,928,713.42 ",OCTUBRE,NO,,,,,,,,,,
,,," $ 42,857,295.91 ",,,,,,,,,,,,
N° EXP.,BASICO/ FEB-25,N°, PAV - AV. USPALLATA - MMONTE CASEROS- GINSA ,58.62%,COBRADO, MONTO DE CONTRATO ,,,,,,,,,
,,,,,," $ 1,230,679,938.50 ",,,,,,,,,
CERTIFICADOS DE OBRA,,,,,,,,,,,,,,,
,CERTIFICADO,1,"$ 299,039,757.38",JUNIO,NO,,,,,,,,,,
 ,CERTIFICADO,2,"$ 311,904,044.95",JULIO,NO,"299,039,757.38",,14.3,,,,,,,
,CERTIFICADO,3,"$ 63,728,542.95",AGOSTO,NO,"311,904,044.95",,42.99,,,,,,,
,CERTIFICADO,4,"$ 106,214,238.24",SEPTIEMBRE,NO,"63,728,542.95",,48.85,,,,,,,
,,,"$ 780,886,583.52",,,,,,,,,,,,
